   3.0000000e+01   1.1000000e+01   9.6000000e+01   4.3000000e+01   3.1000000e+01
   4.4000000e+01   3.8000000e+01   9.3000000e+01   5.5000000e+01   7.1000000e+01
   2.0000000e+00   2.0000000e+01   6.0000000e+00   9.5000000e+01   6.7000000e+01
   9.9000000e+01   4.9000000e+01   7.4000000e+01   4.2000000e+01   5.4000000e+01
   1.7000000e+01   3.4000000e+01   2.7000000e+01   9.9000000e+01   7.0000000e+01
   6.6652791e-01   3.2600821e-02   3.6891655e-01   6.4476454e-01   1.2061161e-01
   1.7813245e-01   5.6119979e-01   4.6072594e-01   3.7627221e-01   5.8950748e-01
   1.2801440e-01   8.8186650e-01   9.8163795e-01   1.9092370e-01   2.2618768e-01
   9.9908039e-01   6.6917530e-01   1.5640495e-01   4.2825299e-01   3.8461912e-01
   1.7112107e-01   1.9043327e-01   8.5552281e-01   4.8202206e-01   5.8298638e-01
